lat,lon,radius_km
47.39,9.58,1
46.591,17.422,1
44.657,7.724,1
48.613,7.497,1
30.779,-85.192,1
48.722,4.618,1
37.164,-88.1,1
48.208,0.132,1
51.392,1.383,1
54.158,19.087,1
46.316,6.33,1
46.753,-119.933,1
46.766,6.563,1
47.734,16.412,1
55.028,-7.245,1
40.216,-100.649,1
33.605,-91.384,1
38.09,-88.552,1
45.834,-100.644,1
40.773,-1.344,1
44.065,-81.138,1
42.941,-3.484,1
40.048,-83.514,1
50.94,10.532,1
54.126,-108.452,1
50.836,12.468,1
43.362,-116.635,1
44.537,3.507,1
50.948,4.245,1
47.796,22.371,1
37.647,-7.66,1
37.835,-8.245,1
45.816,15.183,1
-19.921,-48.377,1
-20.014,-48.935,1
-33.627,150.831,1
37.287,-86.774,1
42.68,-2.938,1
52.842,5.015,1
-25.773,29.476,1
44.025,-73.171,1
53.192,6.994,1
38.712,-98.912,1
-34.34,142.062,1
52.061,-9.056,1
47.362,23.109,1
38.554,140.952,1
31.774,131.145,1
-38.082,142.808,1
44.53,-98.988,1
2.62,102.512,1
-38.78,143.652,1
44.183,-94.035,1
40.912,-89.05,1
48.212,-101.24,1
47.831,-121.987,1
-37.065,146.086,1
53.138,-7.053,1
39.878,-2.672,1
44.954,18.327,1
41.343,-6.713,1
44.931,10.894,1
-35.747,150.192,1
46.001,18.618,1
50.423,-105.624,1
41.636,0.886,1
44.06,1.407,1
38.376,-0.726,1
43.725,13.093,1
46.277,6.959,1
49.194,-98.023,1
59.931,16.954,1
55.213,-1.686,1
49.66,8.253,1
65.875,19.458,1
47.891,17.271,1
-35.091,144.036,1
31.204,-83.791,1
47.126,-1.28,1
-24.983,29.288,1
43.521,23.352,1
33.074,-111.974,1
-29.458,149.826,1
36.557,-88.324,1
47.314,18.759,1
60.595,17.258,1
39.843,-96.61,1
-32.14,150.355,1
38.482,-89.754,1
50.157,-101.673,1
43.147,-93.299,1
42.52,-94.539,1
42.008,-92.918,1
-34.549,150.374,1
40.71,-94.259,1
-37.145,146.449,1
43.703,-98.067,1
-37.588,143.449,1
43.744,-80.644,1
43.13,-115.718,1
-6.17,37.638,1
-28.115,117.843,1
42.749,-77.808,1
40.982,-91.542,1
37.095,-93.814,1
-32.59,149.585,1
42.601,141.949,1
38.038,-1.504,1
-28.554,153.503,1
-35.263,141.181,1
46.671,16.133,1
40.181,-8.679,1
-37.51,145.741,1
-35.993,145.988,1
36.746,-88.624,1
42.168,-5.264,1
-36.558,146.722,1
43.543,144.981,1
45.888,19.943,1
46.472,-1.045,1
46.749,0.479,1
43.536,144.958,1
50.981,-113.224,1
54.833,11.127,1
51.085,17.698,1
36.945,140.043,1
57.879,26.948,1
52.749,-108.255,1
45.582,20.155,1
52.724,-107.345,1
-30.33,149.786,1
54.979,-1.617,1
-16.256,34.893,1
-34.708,116.123,1
47.31,-0.446,1
-34.752,146.538,1
53.266,10.627,1
43.822,28.218,1
50.227,-99.497,1
-27.749,29.936,1
-38.514,145.352,1
52.267,0.415,1
38.99,-88.199,1
49.63,13.551,1
-31.564,147.195,1
-36.308,141.646,1
50.427,8.946,1
54.799,8.834,1
37.605,138.924,1
43.852,4.402,1
42.928,143.129,1
44.881,16.717,1
46.246,-72.58,1
-38.048,141.006,1
-28.598,153.232,1
50.036,5.884,1
43.75,-0.092,1
48.85,-72.484,1
-32.26,121.787,1
45.309,19.826,1
45.052,17.305,1
-31.514,151.716,1
47.283,1.383,1
41.151,-100.799,1
-32.234,148.239,1
-29.046,150.444,1
46.714,-71.637,1
37.868,-94.346,1
40.969,-4.758,1
34.532,-89.035,1
44.535,-87.883,1
43.009,-92.317,1
-34.874,150.605,1
58.903,17.944,1
50.987,3.58,1
39.12,-100.856,1
56.451,-5.441,1
48.085,11.278,1
46.963,8.386,1
52.689,13.12,1
42.923,143.086,1
-33.704,149.858,1
37.675,-87.131,1
31.621,-83.249,1
43.803,-99.494,1
46.516,22.825,1
49.013,4.036,1
41.846,-87.938,1
44.469,143.138,1
35.055,133.929,1
51.798,-114.103,1
49.468,26.926,1
55.808,8.617,1
41.286,-4.684,1
46.702,-64.23,1
-37.102,147.601,1
42.028,-96.119,1
51.341,3.485,1
31.276,-86.222,1
47.11,21.896,1
44.161,4.793,1
33.459,-80.755,1
-37.704,148.455,1
41.127,20.794,1
-33.285,149.098,1
42.999,-96.072,1
46.573,20.691,1
48.758,26.403,1
52.612,18.721,1
45.532,18.623,1
57.066,15.997,1
55.162,15,1
53.601,20.051,1
46.731,-119.248,1
42.725,-85.652,1
41.397,-88.834,1
-26.811,25.999,1
51.489,-107.046,1
-32.754,148.646,1
51.578,5.929,1
51.824,-1.289,1
-34.193,144.102,1
53.058,9.034,1
48.536,27.775,1
45.826,-0.88,1
-35.383,142.191,1
50.541,-4.937,1
59.261,27.382,1
42.008,-4.558,1
38.092,13.325,1
37.289,-5.504,1
36.071,-90.651,1
44.815,10.303,1
43.322,-1.932,1
53.14,14.104,1
56.024,24.366,1
-33.76,24.816,1
43.331,-0.362,1
45.212,-0.751,1
50.522,-2.457,1
-33.974,151.212,1
43.72,27.921,1
41.912,-8.56,1
52.593,-103.253,1
40.902,-5.202,1
37.952,-2.435,1
51.451,13.983,1
52.316,10.269,1
44.414,-81.328,1
49.408,15.226,1
-31.802,115.885,1
-36.411,148.41,1
43.077,12.364,1
52.584,-0.263,1
49.483,12.19,1
-35.054,143.328,1
40.404,-96.645,1
44.315,23.92,1
45.971,-94.116,1
-27.006,30.801,1
51.137,15.27,1
44.798,24.907,1
39.604,-90.863,1
45.885,5.088,1
-38.111,145.494,1
48.399,-97.754,1
49.976,-98.345,1
43.383,-98.854,1
47.208,6.528,1
48.593,-2.354,1
48.221,-3.996,1
-23.871,29.449,1
52.63,20.38,1
54.273,19.931,1
55.915,21.819,1
44.159,-92.179,1
50.416,-4.126,1
40.17,-7.176,1
40.893,-88.632,1
54.044,15.753,1
-38.617,142.997,1
36.218,-90.96,1
48.545,3.288,1
46.85,5.689,1
42.551,-6.582,1
48.035,-2.964,1
50.776,-1.911,1
50.863,2.741,1
36.766,-90.349,1
54.367,-6.475,1
52.379,13.066,1
45.342,17.71,1
48.331,0.7,1
53.13,-105.807,1
45.205,9.216,1
50.203,-3.72,1
37.665,-98.716,1
53.544,-109.462,1
44.816,5.682,1
-29.665,22.746,1
45.826,16.316,1
51.719,-0.829,1
44.717,4.594,1
-33.135,148.176,1
42.053,-90.399,1
-38.385,142.238,1
44.087,-78.985,1
50.054,22.512,1
51.452,20.916,1
42.051,-6.637,1
46.255,-118.931,1
44.253,0.378,1
35.644,-120.657,1
50.906,3.014,1
41.04,14.899,1
-34.476,150.914,1
-38.344,141.613,1
-35.095,138.486,1
38.891,-6.61,1
-32.953,150.66,1
43.585,5.373,1
52.41,-110.316,1
-38.27,144.638,1
39.585,-3.033,1
41.985,-3.034,1
